multivalue_hint,contactLinks_1_text,contactLinks_1_url,contactLinks_2_text,contactLinks_2_url,contactLinks_3_text,contactLinks_3_url,contactLinks_4_text,contactLinks_4_url,contactLinks_5_text,contactLinks_5_url,contactLinks_6_text,contactLinks_6_url,contactLinks_7_text,contactLinks_7_url,contactLinks_8_text,contactLinks_8_url,contactLinks_9_text,contactLinks_9_url,infoForContactCenter,officeLinks_10_text,officeLinks_10_url,officeLinks_11_text,officeLinks_11_url,officeLinks_12_text,officeLinks_12_url,officeLinks_13_text,officeLinks_13_url,officeLinks_14_text,officeLinks_14_url,officeLinks_15_text,officeLinks_15_url,officeLinks_16_text,officeLinks_16_url,officeLinks_17_text,officeLinks_17_url,officeLinks_18_text,officeLinks_18_url,officeLinks_1_text,officeLinks_1_url,officeLinks_2_text,officeLinks_2_url,officeLinks_3_text,officeLinks_3_url,officeLinks_4_text,officeLinks_4_url,officeLinks_5_text,officeLinks_5_url,officeLinks_6_text,officeLinks_6_url,officeLinks_7_text,officeLinks_7_url,officeLinks_8_text,officeLinks_8_url,officeLinks_9_text,officeLinks_9_url,websiteLinks_1_text,websiteLinks_1_url,websiteLinks_2_text,websiteLinks_2_url,websiteLinks_3_text,websiteLinks_3_url,websiteLinks_4_text,websiteLinks_4_url,Title,Acronym,Agency,"Agency Tags",Alpha-order-name,"Archive Date","CAH Description","CFO Agency","Child Records",City,Comments,"Contact links","Date Last Reviewed","Directory type","Donated money",Email,"English Toggle Node","English Translation Name","For use by","Form links","Group by","In-person links","Inventory URL",Language,"More info (for contact  center only)","Notify Marketing Team",Owner,"Parent Record","Schedule Publish","See also","Show on AZ Index","SMS services","SOCAP member","Spanish Toggle Node",State,"State Details","Street 1","Street 2",Subdivision,Summary,Synonym,"Toll free number","Top Tasks","TTY number","Website links","Workflow Notification Email","Workflow State (for search indexing)",ZIP,"Asset Topic Taxonomy","Government branch",UUID,Path,"Friendly URL","Phone number","Post date","Updated date","English Toggle","Spanish Toggle",Nid,Synonym_Count,langcode,alias,phonehint,"Street 3",phone_1,toll_1,tty_1,toll_2,toll_3,toll_4,tty_2,tty_3,phone_2,phone_3
contact_1-website_1-office_2,"Contact the U.S. Geological Survey",https://answers.usgs.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Water Resources Offices",https://www.usgs.gov/mission-areas/water-resources/about/,"State Offices",https://www.usgs.gov/connect/locations,,,,,,,,,,,,,,,"U.S. Geological Survey (USGS)",https://www.usgs.gov/,,,,,,,"U.S. Geological Survey",USGS,DOI-Interior,DOI-Interior,"U.S. Geological Survey",,,No,,Reston,"March 9, 2017 Top Task add Earthquakes Map, Water Date, Meghan, Arantxa list. sa","Contact the U.S. Geological Survey",,"Federal Agencies",No,,,,"USA.gov, NCC Knowledge Base",,None,"Water Resources Offices
State Offices",,English,,No,joanne.mcgovern@gsa.gov,"U.S. Department of the Interior",,,Yes,,No,210737,VA,,"12201 Sunrise Valley Dr.",,,"The U.S. Geological Survey is the nation's largest water, earth, and biological science and civilian mapping agency. It collects, monitors, analyzes, and provides scientific understanding of natural resource conditions, issues, and problems.","Geological Survey","1-888-ASK-USGS (1-888-275-8747)","Earthquakes Map
Water Data ",,"U.S. Geological Survey (USGS)",,,20192,,"Executive Department Sub-Office/Agency/Bureau",b4bd8d49-f3fb-4892-a0f3-7ea99766ab37,/content/us-geological-survey,,,1428951945,1610396444,,"Servicio Geológico de Estados Unidos",210264,1,en,/agencies/us-geological-survey,phone_1-toll_1-tty_1,,,"1-888-ASK-USGS (1-888-275-8747)",,,,,,,,
contact_1-website_1-office_2,"Contact the Office of Community Planning and Development",https://www.hud.gov/contact/address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Find Local Community Planning and Development Info",https://www.hudexchange.info/programs/cpd-field-office-directory/,"Housing and Urban Development Local Offices",https://www.hud.gov/program_offices/field_policy_mgt/localoffices,,,,,,,,,,,,,,,"Office of Community Planning and Development",https://www.hud.gov/program_offices/comm_planning,,,,,,,"Office of Community Planning and Development",,HUD-Housing,HUD-Housing,"Community Planning and Development",,,No,,Washington,,"Contact the Office of Community Planning and Development",,"Federal Agencies",No,,,,"USA.gov, NCC Knowledge Base","Office of Community Planning and Development Formshttps://www.hud.gov/program_offices/administration/hudclips/forms",None,"Find Local Community Planning and Development Info
Housing and Urban Development Local Offices",,English,,No,joanne.mcgovern@gsa.gov,"U.S. Department of Housing and Urban Development",,,Yes,,No,210838,DC,,"451 7th St., SW",,,"The Office of Community Planning and Development develops communities by promoting decent housing, suitable living environments, and expanded economic opportunities for low and moderate income people.","Community Planning and Development",,,1-202-708-1455,"Office of Community Planning and Development",,,20410,,"Executive Department Sub-Office/Agency/Bureau",4711e357-7918-4555-8709-dc2441082348,/content/office-community-planning-and-development,,1-202-708-1112,1428951945,1674077869,,"Oficina de Planificación y Desarrollo Comunitario",210191,1,en,/agencies/office-community-planning-and-development,phone_1-toll_1-tty_1,,1-202-708-1112,,1-202-708-1455,,,,,,,
contact_1-website_1-office_2,"Contact the U.S. Air Force",https://www.af.mil/Contact-Us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Air Force Recruiter Locator",https://www.airforce.com/find-a-recruiter,"Find Air Force Installations",https://www.airforce.com/lifestyle/locations,,,,,,,,,,,,,,,"U.S. Air Force",https://www.af.mil/,,,,,,,"U.S. Air Force",,DOD-Defense,DOD-Defense,"U.S. Air Force",,,No,"U.S. Air Force Reserve Command",Washington,,"Contact the U.S. Air Force",,"Federal Agencies",No,,,,"USA.gov, NCC Knowledge Base","Air Force Formshttps://www.e-publishing.af.mil/",None,"Air Force Recruiter Locator
Find Air Force Installations",,English,,No,joanne.mcgovern@gsa.gov,"U.S. Department of Defense",,,Yes,,No,211258,DC,,"1690 Air Force Pentagon",,,"The Air Force defends the United States in the air and space.","Air Force",1-800-423-8723,,,"U.S. Air Force",,,20330-1670,,"Executive Department Sub-Office/Agency/Bureau",ba7bcaa8-127e-4206-b32c-1d1dd673d706,/content/us-air-force,,,1428951945,1619731510,,"Fuerza Aérea de EE. UU.",210149,1,en,/agencies/us-air-force,phone_1-toll_1-tty_1,,,1-800-423-8723,,,,,,,,
contact_1-website_1-office_2,"Contact the National Cemetery Administration",http://www.va.gov/landing2_contact.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Find a National Cemetery",https://www.cem.va.gov/cems/listcem.asp,"Veterans' Gravesite Locator",http://gravelocator.cem.va.gov/,,,,,,,,,,,,,,,"National Cemetery Administration",http://www.cem.va.gov/,,,,,,,"National Cemetery Administration",,VA,VA,"Department of Veterans Affairs-NCS",,,No,,Washington,"6/18/09 Updated web address. JR
7/13/10 JZ used acronym in description.
Dec. 11, 2017 fixed broken link for cemetery locator. sa","Contact the National Cemetery Administration",,"Federal Agencies",No,,,,"USA.gov, NCC Knowledge Base, Print CAH","National Cemetery Administration Formshttps://www.va.gov/vaforms/",None,"Find a National Cemetery
Veterans' Gravesite Locator",,English,,No,joanne.mcgovern@gsa.gov,"U.S. Department of Veterans Affairs",,,Yes,,No,,DC,,"810 Vermont Ave., NW",,,"The National Cemetery Administration provides burial space for Veterans and their eligible family members, and maintains national cemeteries as national shrines, sacred to the honor and memory of those interred or memorialized there.",,"1-800-827-1000###1-800-697-6947 (Status of Headstones and Markers)",,1-800-829-4833,"National Cemetery Administration",,,20420,,"Executive Department Sub-Office/Agency/Bureau",54b3a8eb-f203-47c6-ba54-338e6896de4f,/content/national-cemetery-administration,,,1428951945,1522898144,,,209684,,en,/agencies/national-cemetery-administration,phone_1-toll_2-tty_1,,,1-800-827-1000,1-800-829-4833,"1-800-697-6947 (Status of Headstones and Markers)",,,,,,
contact_1-website_1-office_2,"Contact the U.S. Citizenship and Immigration Services",http://www.uscis.gov/about-us/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Citizenship and Immigration Services Local Offices",https://egov.uscis.gov/office-locator/#/,"International Immigration Offices",http://www.uscis.gov/about-us/find-uscis-office/international-immigration-offices,,,,,,,,,,,,,,,"U.S. Citizenship and Immigration Services",http://www.uscis.gov,,,,,,,"U.S. Citizenship and Immigration Services",USCIS,DHS-Homeland,DHS-Homeland,"Department of Homeland Security-DHS-USCIS",,,No,,"Camp Springs","7/16/11: SL updated record
14.07.31: Consolidated with deprecated record (Bureau of Citizenship and Immigration Services)
March 9, 2017 Top Task adds based on Megan and Arantxa list.","Contact the U.S. Citizenship and Immigration Services",,"Federal Agencies",No,,,,"USA.gov, NCC Knowledge Base, Print CAH","Citizenship and Immigration Services Formshttps://www.uscis.gov/forms",None,"U.S. Citizenship and Immigration Services Local Offices
International Immigration Offices",,English,,No,joanne.mcgovern@gsa.gov,"U.S. Department of Homeland Security",,,Yes,,No,210696,MD,,"Information and Customer Service Division","5900 Capital Gateway Dr.","Information and Customer Service Division","The U.S. Citizenship and Immigration Services is responsible for processing immigration and naturalization applications and establishing policies regarding immigration services.","Citizenship and Immigration Services###Immigration and Citizenship Services","1-800-375-5283###1-877-247-4645 (Military Help Line)","Apply for, Renew, or Replace a Green Card
Check Case Status with myUSCIS
Apply for Naturalization 
Request help from the CIS Ombudsman for a case problem you've been unable to resolve with USCIS.",1-800-767-1833,"U.S. Citizenship and Immigration Services",,,20588-0009,,"Executive Department Sub-Office/Agency/Bureau",726ce7d9-4a69-4b4d-aa30-bd6aebb88253,/content/us-citizenship-and-immigration-services,,,1428951945,1624480156,,"Servicio de Ciudadanía e Inmigración de Estados Unidos",210603,2,en,/agencies/us-citizenship-and-immigration-services,phone_1-toll_2-tty_1,,,1-800-375-5283,1-800-767-1833,"1-877-247-4645 (Military Help Line)",,,,,,
contact_1-website_1-office_2,"Contact the National Institute of Food and Agriculture",https://nifa.usda.gov/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Find local extension offices",https://nifa.usda.gov/land-grant-colleges-and-universities-partner-website-directory,"Visit the National Institute of Food and Agriculture",https://nifa.usda.gov/visit-nifa,,,,,,,,,,,,,,,"National Institute of Food and Agriculture",http://www.nifa.usda.gov,,,,,,,"National Institute of Food and Agriculture",NIFA,DOA-Agriculture,DOA-Agriculture,"Department of Agriculture-NIFA",,,No,,Washington,"9/17 SAM: Fixed broken url for ""Contact the National Institute of Food and Agriculture.""
10/8/09 effective 10/1/09 CSREES is now know as National Institute of Food and Agriculture (NIFA)
7/5/10 JZ Minor change to description, changed lists to listings
3/12/18 MJ verified via https://nifa.usda.gov/visit-nifa","Contact the National Institute of Food and Agriculture","12/02/2019 - 12:00","Federal Agencies",Yes,,,,"USA.gov, NCC Knowledge Base, Print CAH","National Institute of Food and Agriculture Formshttps://nifa.usda.gov/document",None,"Find local extension offices
Visit the National Institute of Food and Agriculture",,English,,No,stephanie.madden@gsa.gov,"U.S. Department of Agriculture",,,Yes,,No,210810,DC,,"Mailing Address:","1400 Independence Ave., SW","Mailing Address:","The National Institute of Food and Agriculture is a research and grant-making organization focused on agriculture.","Food and Agriculture, National Institute of",,,,"National Institute of Food and Agriculture",,,20250-2201,,"Executive Department Sub-Office/Agency/Bureau",1f5e9354-d084-48c7-9b64-5d37e0493423,/content/national-institute-food-and-agriculture,,1-202-720-4651,1428951945,1647378242,,"Instituto Nacional de Alimentos y Agricultura",209691,1,en,/agencies/national-institute-food-and-agriculture,phone_1-toll_1-tty_1,"Mail Stop 2201",1-202-720-4651,,,,,,,,,
contact_1-website_1-office_2,"Contact the National Park Service",https://www.nps.gov/aboutus/contactus.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Find a Park Near You",https://www.nps.gov/findapark/index.htm,"Partnerships in Your Community",https://www.nps.gov/getinvolved/communities.htm,,,,,,,,,,,,,,,"National Park Service",https://www.nps.gov/index.htm,,,,,,,"National Park Service",NPS,DOI-Interior,DOI-Interior,"National Park Service",,,No,,Washington,"March 9, 2017 Top Task, Find a Park. Meghan and Arantxa list. sa","Contact the National Park Service",,"Federal Agencies",No,,,,"USA.gov, NCC Knowledge Base","National Register of Historic Places Formshttps://www.nps.gov/subjects/nationalregister/national-register-forms.htm",None,"Find a Park Near You
Partnerships in Your Community",,English,,No,joanne.mcgovern@gsa.gov,"U.S. Department of the Interior",,,Yes,,No,,DC,,"1849 C St., NW",,,"The National Park Service cares for the more than 400 national parks in the United States. The National Park Service partners with local communities to assist in historic preservation and the creation and maintenance of recreational spaces.",,,"Find a Park",,"National Park Service",,,20240,,"Executive Department Sub-Office/Agency/Bureau",a36dc2e8-53f1-49c2-ba94-3be7ad5944df,/content/national-park-service,,"1-202-208-6843 (National Headquarters)",1428951945,1608232920,,,210343,,en,/agencies/national-park-service,phone_1-toll_1-tty_1,,"1-202-208-6843 (National Headquarters)",,,,,,,,,
contact_1-website_1-office_2,"Contact the Forest Service",https://www.fs.usda.gov/about-agency/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Contact Forest Service Regional Offices",https://www.fs.usda.gov/organization,"Locate a Forest or Grassland",https://www.fs.usda.gov/visit/forests-and-grasslands,,,,,,,,,,,,,,,"Forest Service",https://www.fs.usda.gov/,,,,,,,"Forest Service",,DOA-Agriculture,DOA-Agriculture,"Forest Service",,,No,,Washington,,"Contact the Forest Service",,"Federal Agencies",No,webmaster@fs.fed.us,,,"USA.gov, NCC Knowledge Base",,None,"Contact Forest Service Regional Offices
Locate a Forest or Grassland",,English,,No,joanne.mcgovern@gsa.gov,"U.S. Department of Agriculture",,,Yes,,No,210701,DC,,"1400 Independence Ave., SW",,,"The Forest Service works to sustain the health, diversity, and productivity of the nation's forests and grasslands.",,1-800-832-1355,,,"Forest Service",,,20250-1111,,"Executive Department Sub-Office/Agency/Bureau",072c9d31-7ee0-4496-8ec0-34127ded977b,/content/forest-service,,,1428951945,1661175103,,"Servicio Forestal",210261,,en,/agencies/forest-service,phone_1-toll_1-tty_1,,,1-800-832-1355,,,,,,,,
contact_1-website_1-office_2,"Contact the Government Publishing Office",https://ask.gpo.gov/s/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Find a Federal Depository Library Near You",https://catalog.gpo.gov/fdlpdir/,"Government Publishing Office (GPO) Bookstore",https://bookstore.gpo.gov/,,,,,,,,,,,,,,,"Government Publishing Office (GPO)",https://www.gpo.gov/,,,,,,,"Government Publishing Office",GPO,,,"Government Publishing Office",,,No,,Washington,,"Contact the Government Publishing Office",,"Federal Agencies",No,ContactCenter@gpo.gov,,,"USA.gov, NCC Knowledge Base","Government Publishing Office (GPO) Formshttps://www.gpo.gov/how-to-work-with-us/agency/services-for-agencies",None,"Find a Federal Depository Library Near You
Government Publishing Office (GPO) Bookstore",,English,,No,joanne.mcgovern@gsa.gov,"U.S. House of Representatives",,,Yes,,No,210742,DC,,"732 North Capitol St., NW",,,"The Government Publishing Office publishes and distributes official government publications to Congress, federal agencies, federal depository libraries, and the public. Anyone may use the services of a federal depository library to access government publications.",,1-866-512-1800,,,"Government Publishing Office (GPO)",,,20401-0001,,Legislative,9727e12d-9192-4fe5-945a-2aa2cb7cffa1,/content/government-publishing-office,,1-202-512-1800,1428951945,1663344295,,"Oficina de Publicaciones del Gobierno de Estados Unidos",210268,,en,/agencies/government-publishing-office,phone_1-toll_1-tty_1,,1-202-512-1800,1-866-512-1800,,,,,,,,
contact_1-website_1-office_2,"Contact the Office of Housing",https://www.hud.gov/program_offices/housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Find a Housing Counselor Near You",https://www.hud.gov/program_offices/housing/sfh/hcc,"Housing and Urban Development Local Offices",https://www.hud.gov/program_offices/field_policy_mgt/localoffices,,,,,,,,,,,,,,,"Office of Housing",https://www.hud.gov/program_offices/housing,,,,,,,"Office of Housing",,HUD-Housing,HUD-Housing,"Housing Office",,,No,"Federal Housing Administration",Washington,,"Contact the Office of Housing",,"Federal Agencies",No,answers@hud.gov,,,"USA.gov, NCC Knowledge Base","Office of Housing Formshttps://www.hud.gov/program_offices/administration/hudclips/forms",None,"Find a Housing Counselor Near You
Housing and Urban Development Local Offices",,English,,No,joanne.mcgovern@gsa.gov,"U.S. Department of Housing and Urban Development",,,Yes,,No,210722,DC,,"451 7th St., SW",,,"The Office of Housing regulates the housing industry and administers the Federal Housing Administration. The regulatory programs administered by the Office of Housing include single family housing and multifamily housing programs.","Housing Office",,,,"Office of Housing",,,20410,,"Executive Department Sub-Office/Agency/Bureau",d7988dca-f90c-47b7-9e7e-db8ccbf38243,/content/office-housing,,,1428951945,1674250602,,"Departamento de Vivienda y Desarrollo Urbano de EE. UU.",210276,1,en,/agencies/office-housing,phone_1-toll_1-tty_1,,,,,,,,,,,
